# Fields: Hash, Region, Board, PCB, Chip, Mapper, PrgRomSize, ChrRomSize, ChrRamSize, PrgRamSize, Battery, Mirroring, SubMapper, Title
15238498197085461355,PAL,,,,3,2,4,0,0,false,Vertical,0,"Dropzone (Europe).nes"
15240167376236849643,NTSC,,,,1,16,0,1,2,true,SingleScreenA,0,"Bloody Warriors - Shan-Go no Gyakushuu (Japan).nes"
15246468543339782132,NTSC,,,,4,8,32,0,0,false,Horizontal,0,"Gremlins 2 - The New Batch (USA).nes"
15248744232722905237,NTSC,,,,1,8,0,1,2,true,SingleScreenA,0,"Elite (Unknown) (NTSC Demo).nes"
15252326603670134433,NTSC,,,,1,8,4,0,2,false,SingleScreenA,0,"Igo Shinan \'93 (Japan).nes"
15257233989039604922,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Over Horizon (Japan).nes"
15259467059695016868,NTSC,,,,4,8,16,0,0,false,Vertical,0,"Captain America and the Avengers (Australia).nes"
15263084163564490606,NTSC,,,,0,2,1,0,0,false,Vertical,0,"Seicross (Japan) (Rev 1).nes"
15264475810421066929,NTSC,,,,4,16,32,0,0,true,Horizontal,0,"Might & Magic - Secret of the Inner Sanctum (USA).nes"
15265635102819930794,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Osomatsu-kun (Japan).nes"
15266547259379208271,NTSC,,,,4,16,32,0,0,false,Horizontal,0,"F-15 Strike Eagle (USA).nes"
15284446227575837870,NTSC,,,,4,16,16,0,0,false,Horizontal,0,"Super Mario Bros. 3 (USA).nes"
15299767014397445064,NTSC,,,,1,8,16,0,2,true,SingleScreenA,0,"Choujin - Ultra Baseball (Japan).nes"
15329124533289809354,NTSC,,,,1,2,4,0,2,false,SingleScreenA,0,"Sesame Street ABC (USA).nes"
15332422019428960272,PAL,,,,4,8,16,0,0,false,Horizontal,0,"Kickle Cubicle (Europe).nes"
15335881427034408903,PAL,,,,1,8,16,0,2,false,SingleScreenA,0,"Addams Family, The - Pugsley\'s Scavenger Hunt (Europe).nes"
15341062719336049057,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Conflict (USA).nes"
15344231535457859648,NTSC,,,,1,16,0,1,2,false,SingleScreenA,0,"Salad no Kuni no Tomato Hime (Japan).nes"
15345065351551946563,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Mega Man (USA).nes"
15351001325592971315,NTSC,,,,4,8,8,0,0,false,Horizontal,0,"Dragon Slayer 4 - Drasle Family (Japan).nes"
15373051866619667231,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Motocross Champion (Japan).nes"
15382857315812061937,NTSC,,,,2,8,0,1,0,false,Vertical,0,"Contra (USA).nes"
15390544617154260082,NTSC,,,,4,8,32,0,0,false,Horizontal,0,"Spider-Man - Return of the Sinister Six (USA).nes"
15393799314609685535,NTSC,,,,9,8,16,0,0,false,Horizontal,0,"Mike Tyson\'s Punch-Out!! (Japan, USA).nes"
15404383272116608001,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Juuouki (Japan).nes"
15411232054132487556,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Track & Field II (USA) (Rev A).nes"
15420192230527986666,PAL,,,,4,32,32,0,0,true,Horizontal,0,"Kirby\'s Adventure (Europe).nes"
15431521863893592513,NTSC,,,,4,8,16,0,0,false,Horizontal,0,"Widget (USA).nes"
15433186517818428954,NTSC,,,,4,32,0,1,0,false,Horizontal,0,"Mega Man 4 (USA).nes"
15448656171260986695,PAL,,,,4,2,4,0,0,false,Horizontal,0,"Adventures of Lolo 2 (Europe).nes"
15453260246072995346,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Puzslot (Japan).nes"
15461274982291034736,NTSC,,,,1,8,16,0,2,false,SingleScreenA,0,"Castlevania II - Simon\'s Quest (USA).nes"
